User-ID,Location,Age
2,"stockton, california, usa",18.0
8,"timmins, ontario, canada",
9,"germantown, tennessee, usa",
10,"albacete, wisconsin, spain",26.0
12,"fort bragg, california, usa",
14,"mediapolis, iowa, usa",
16,"albuquerque, new mexico, usa",
17,"chesapeake, virginia, usa",
19,"weston, ,",14.0
20,"langhorne, pennsylvania, usa",19.0
22,"erfurt, thueringen, germany",
23,"philadelphia, pennsylvania, usa",
26,"bellevue, washington, usa",
32,"portland, oregon, usa",
36,"montreal, quebec, canada",24.0
39,"cary, north carolina, usa",
42,"appleton, wisconsin, usa",17.0
44,"black mountain, north carolina, usa",51.0
51,"renton, washington, usa",34.0
53,"tacoma, washington, usa",
56,"cheyenne, wyoming, usa",24.0
64,"lyon, rhone, france",32.0
67,"framingham, massachusetts, usa",43.0
68,"montreal, quebec, canada",
69,"vancouver, british columbia, canada",
70,"rochester, new york, usa",44.0
73,"wentzville, missouri, usa",
75,"long beach, california, usa",37.0
77,"vancouver, british columbia, canada",
78,"oakland, california, usa",18.0
79,"ottawa, ontario, canada",20.0
81,"santa cruz, california, usa",
82,"del mar, california, usa",
83,"eugene, oregon, usa",
85,"london, england, united kingdom",41.0
86,"los angeles, california, usa",
87,"richardson, texas, usa",
88,"fayetteville, georgia, usa",
91,"toronto/newmarket, ,",
92,"castellar del valles, barcelona, spain",20.0
95,"grand island, new york, usa",
97,"mechanicsburg, pennsylvania, usa",
99,"franktown, colorado, usa",42.0
102,"barcelona, n/a, spain",
107,"lethbridge, alberta, canada",
109,"muncie, indiana, usa",20.0
110,"peoira, illinois, usa",
114,"ligonier, pennsylvania, usa",57.0
125,"lansing, michigan, usa",49.0
129,"bloomington, minnesota, usa",47.0
132,"silver spring, maryland, usa",38.0
133,"jacksonville, florida, usa",45.0
135,"berkshire, new york, usa",
139,"baltimore, maryland, usa",35.0
141,"darien, new york, usa",
144,"cape girardeau, missouri, usa",62.0
151,"darwin, northern territory, australia",
160,"almada, n/a, portugal",20.0
162,"newark, delaware, usa",
165,"olympia, washington, usa",62.0
169,"arlington, virginia, usa",
176,"london, london, united kingdom",34.0
178,"rexford, new york, usa",28.0
183,"porto, porto, portugal",27.0
185,"baton rouge, louisiana, usa",17.0
190,"wezembeek-oppem, brussels, belgium",33.0
193,"mumbai, maharashtra, india",23.0
199,"austin, texas, usa",38.0
202,"ottawa, ontario, canada",28.0
204,"turner, oregon, usa",15.0
207,"west bend, wisconsin, usa",
212,"manila, n/a, philippines",21.0
215,"port alberni, british columbia, canada",20.0
217,"spencer, massachusetts, usa",
224,"strafford, missouri, usa",
226,"new york, new york, usa",
228,"ann arbor, michigan, usa",41.0
230,"ny, new york, usa",
232,"mumbai, maharashtra, india",16.0
236,"s. pasadena, california, usa",
237,"plymouth, minnesota, usa",27.0
241,"auburn, alabama, usa",
242,"neuffen, baden-wuerttemberg, germany",37.0
243,"arden hills, minnesota, usa",
244,"college station, texas, usa",
247,"zografou, athens, greece",23.0
250,"minneapolis, minnesota, usa",25.0
254,"minneapolis, minnesota, usa",24.0
256,"boston, massachusetts, usa",
257,"quit, quit, quit",
272,"walla walla, washington, usa",20.0
273,"snohomish, washington, usa",
278,"chicago, illinois, usa",21.0
280,"yakima, washington, usa",
289,"tampa, florida, usa",15.0
291,"ft. collins, colorado, usa",
300,"newport news, virginia, usa",
302,"capitola, california, usa",53.0
306,"boston, massachusetts, usa",
310,"barcelona, n/a, spain",26.0
311,"ridderkerk, n/a, netherlands",34.0
313,"rutherford, new jersey, usa",
323,"seattle, washington, usa",23.0
326,"parkville, missouri, usa",
327,"dallas, texas, usa",
332,"lake oswego, oregon, usa",59.0
334,"jyväskylä, n/a, finland",27.0
337,"málaga, n/a, spain",17.0
338,"minneapolis, minnesota, usa",
339,"tampere, pirkanmaa, finland",20.0
343,"mesa, arizona, usa",
345,"columbia, tennessee, usa",27.0
356,"leesburg, virginia, usa",
361,"premià de dalt, barcelona, spain",25.0
362,"thunder bay, ontario, canada",63.0
367,"culver city, california, usa",45.0
372,"bamberg, bayern, germany",22.0
376,"fishers, indiana, usa",35.0
383,"carmichael, california, usa",
384,"bucuresti, n/a, romania",23.0
387,"charity, missouri, usa",17.0
388,"nashville, tennessee, usa",35.0
392,"barcelona, catalunya, spain",44.0
393,"brighton, east sussex, united kingdom",24.0
400,"st. louis, missouri, usa",
406,"madrid, madrid, spain",37.0
408,"mountain view, california, usa",17.0
413,"naperville, illinois, usa",17.0
422,"edmonton, alberta, canada",23.0
424,"portland, oregon, usa",29.0
430,"silver spring, maryland, usa",
431,"ridgway, pennsylvania, usa",40.0
432,"kansas city, missouri, usa",
433,"smock, pennsylvania, usa",48.0
435,"naples, florida, usa",
439,"tiburon, california, usa",
440,"brookfield, wisconsin, usa",16.0
441,"spokane, washington, usa",
444,"sweet home, oregon, usa",40.0
446,"chevy chase, dc, usa",
447,"medford, new jersey, usa",
453,"charleston, west virginia, usa",
460,"roma, italy, italy",
