Book-Author
Mark P. O. Morford
Richard Bruce Wright
Carlo D'Este
Gina Bari Kolata
E. J. W. Barber
Amy Tan
Robert Cowley
Scott Turow
David Cordingly
Ann Beattie
David Adams Richards
Adam Lebor
Sheila Heti
R. J. Kaiser
Jack Canfield
Loren D. Estleman
Robert Hendrickson
Julia Oliver
John Grisham
Toni Morrison
The Onion
Celia Brooks Brown
J. R. Parrish
Mary-Kate &amp; Ashley Olsen
Robynn Clairday
Kathleen Duey
Rich Shapero
Michael Crichton
MICHAEL CRICHTON
C.S. Lewis
ARTHUR PHILLIPS
Stephan Jaramillo
Mordecai Richler
Eleanor Cooney
Charlotte Link
Richard North Patterson
Mark Salzman
Harper Lee
LAURA HILLENBRAND
Barbara Kingsolver
Jo Dereske
Jane Austen
Dolores Krieger
Anne Rivers Siddons
Dean R. Koontz
Mary Higgins Clark
Dean Koontz
Patricia Cornwell
J.D. Robb
Maeve Binchy
Laura J. Mixon
Tim Lahaye
JOHN GRISHAM
M.D. Bernie S. Siegel
Robert Penn Warren
Hans Johannes Hoefer
Mark Helprin
O. Carol Simonton Md
Chuck Hill
David Iglehart
Larry McMurtry
SUZANNE FISHER STAPLES
Michel Tournier
Carl Sagan
Aleksandr Zinoviev
Anne Tyler
Joseph Conrad
Deepak Chopra
Thomas Hardy
Charles Noland
Valerie Frankel
Benjamin Hoff
Niccolo Machiavelli
H. Jackson Brown
Robert A. Heinlein
PHILIP PULLMAN
Anna Sewell
MICHAEL ONDAATJE
Sandra Levy Ceren
P.J. O'Rourke
Mike Gayle
Stel Pavlou
Sarah Payne Stuart
Dan Quayle
Donald F. Kettl
DAVID FRUM
Louis Lamour
J.D. Salinger
J. R. R. Tolkien
John Berendt
Jennifer Crusie
Jane Heller
Michael Rips
Simon Mawer
William Abrahams
Robert T. Kiyosaki
Ken Follett
John F. Love
Robert G. Allen
LOUIS DE BERNIERES
Pam Proctor
Mitch Albom
Irene Gonzalez Frei
Michael Jan Friedman
Glendon Swarthout
Neal Barrett Jr.
David Morrell
Sandra Brown
James Patterson
Stuart Woods
IRIS JOHANSEN
Dan Brown
Joe Hutsko
Anita Shreve
Ann Rule
